Model,MAE,MSE,R2
base,0.013633765768549725,0.0003965517715910596,-0.058413290930882544
deep,0.012678318922424008,0.0003801263138327659,-0.014573056070124268
wide,0.012721769540177492,0.00038199898540721187,-0.019571294953258267
deep_wide,0.012660753899009525,0.00037152353382010543,0.008388124175829015
