Date,Open,High,Low,Close,Volume,Ticker,Return,NextReturn,Momentum_3,Volatility_3,MA_3,MA_5,VolumeLog,complete_row
2019-01-02,36.89608794049204,37.83939452281195,36.738869570976945,37.61785888671875,148158800.0,AAPL,,-0.09960749580988137,,,,,18.813795236226806,False
2019-01-03,34.297229415515666,34.71171315877286,33.825578007512746,33.8708381652832,365248800.0,AAPL,-0.09960749580988137,0.042689314167741355,,,,,19.7160893259066,False
2019-01-04,34.42824508143415,35.385843458861956,34.25435404131525,35.3167610168457,234428400.0,AAPL,0.042689314167741355,-0.002225840204180596,,,35.601819356282554,,19.272660773003054,False
2019-01-07,35.42157295630101,35.45254119796696,34.754588999265515,35.23815155029297,219111200.0,AAPL,-0.002225840204180596,0.019062903587237612,-0.06326004208777425,0.07274262857335737,34.80858357747396,,19.20508992603396,False
2025-08-01,210.8699951171875,213.5800018310547,201.5,202.3800048828125,104301700.0,AAPL,-0.025003624118486445,,-0.04207885269971212,0.009514454885255002,206.33333841959634,208.86400451660157,18.462798228562846,False
2019-01-02,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,159662000.0,AMZN,,-0.025241497784936007,,,,,18.888569644985765,False
2019-01-03,76.00050354003906,76.9000015258789,74.85549926757812,75.01399993896484,139512000.0,AMZN,-0.025241497784936007,0.05006399867375011,,,,,18.753661184199274,False
2019-01-04,76.5,79.69999694824219,75.91549682617188,78.76950073242188,183652000.0,AMZN,0.05006399867375011,0.03435341415874271,,,76.91333262125652,,19.028553225896157,False
2019-01-07,80.1155014038086,81.72799682617188,79.45950317382812,81.47550201416016,159864000.0,AMZN,0.03435341415874271,0.01661235994563981,0.05872155031277382,0.0397267621641197,78.41966756184895,,18.88983401799858,False
2025-08-01,217.2100067138672,220.44000244140625,212.8000030517578,214.75,122060100.0,AMZN,-0.08269617085933034,,-0.0703865412470489,0.05265115617843339,226.3500010172526,228.56999816894532,18.620024112542186,False
2019-01-02,79.23871097297602,82.40165435775401,79.2304571755432,82.01351165771484,15670900.0,JPM,,-0.014211778495628935,,,,,16.56731611108383,False
2019-01-03,82.12173888380991,82.32987386807581,80.49828854724618,80.84795379638672,16286400.0,JPM,-0.014211778495628935,0.03686539359660079,,,,,16.605841023081133,False
2019-01-04,82.51303085447668,84.02825323414928,81.8220212058708,83.82844543457031,16935200.0,JPM,0.03686539359660079,0.0006951496610441144,,,82.22997029622395,,16.644904913074114,False
2019-01-07,83.61197906955377,84.4778212931638,83.01254934922567,83.88671875,15430700.0,JPM,0.0006951496610441144,-0.0018857319557624708,0.02284022540216335,0.02626588586730304,82.85437266031902,,16.551869654286,False
2025-08-01,290.3999938964844,291.79998779296875,284.239990234375,289.3699951171875,12006000.0,JPM,-0.02319064050654407,,-0.02582148265247719,0.016127809454545537,295.0799967447917,296.11199951171875,16.30091716608561,False
2019-01-02,93.4713769735044,95.53703983423571,92.89862363089934,94.94551086425781,35329300.0,MSFT,,-0.03678803615804904,,,,,17.380223234254238,False
2019-01-03,93.98778418882968,94.07229241642493,91.26485989595818,91.45265197753906,42579100.0,MSFT,-0.03678803615804904,0.046509092189278345,,,,,17.566874104008036,False
2019-01-04,93.63097791898929,96.25061802045236,92.88921541024229,95.7060317993164,44060600.0,MSFT,0.046509092189278345,0.0012754714640761389,,,94.03473154703777,,17.601076539735683,False
2019-01-07,95.43374949195317,96.96421732439497,94.81405354124455,95.8281021118164,35656100.0,MSFT,0.0012754714640761389,0.0072505762365011606,0.009295765955911417,0.04169996532237198,94.3289286295573,,17.389430826227358,False
2025-08-01,535.0,535.7999877929688,520.8599853515625,524.1099853515625,28955600.0,MSFT,-0.01760077722293818,,0.022513954898738975,0.02907429857139312,523.6166585286459,519.1839965820312,17.18127421477267,False
2019-01-02,49.527104887413145,51.38023805365752,49.460924365257604,51.24787139892578,16727200.0,XOM,,-0.015353882391683005,,,,,16.632546754722217,False
2019-01-03,51.4758247044944,51.659666935581875,50.2698201173941,50.46101760864258,13866100.0,XOM,-0.015353882391683005,0.036870051851168206,,,,,16.444957642462082,False
2019-01-04,51.21110891872218,52.409758654701555,51.00520644730698,52.32151794433594,16043600.0,XOM,0.036870051851168206,0.005199998950113693,,,51.3434689839681,,16.590820636452893,False
2019-01-07,52.39504261612292,53.020105160336456,52.02000284542665,52.593589782714844,10844200.0,XOM,0.005199998950113693,0.007270785272081248,0.026259010317007503,0.026308406757694698,51.79204177856445,,16.199141025024634,False
2025-08-01,112.0,112.54000091552734,108.86000061035156,109.63999938964844,19649500.0,XOM,-0.017914726002635994,,-0.028703029257660884,0.007839648725451698,111.06000010172527,111.5,16.793562501555066,False
